formation_year,year,month,Mkt_RF,ME,IA,ROE
2014,2015,4,-0.02364036,0.02155048696852746,0.03624178910619198,0.0201383544501065
2014,2015,5,-0.00630142,0.017982195227597086,0.030944331509362318,0.053708710023412626
2014,2015,6,-0.04983903,-0.00837889880882483,0.012497043851705246,-0.06723011417229621
2015,2015,7,-0.00866308,0.015349589257277833,-0.03980661896525124,-0.02691890687618778
2015,2015,8,-0.08678235,0.023127164879398383,0.015233340223185055,0.02125663662312547
2015,2015,9,-0.05765165,0.0034580468067077156,-0.005902016196296753,0.004004353920387029
2015,2015,10,0.06142763,-0.044063847853172286,0.030670322789737078,0.041277512777560005
2015,2015,11,-0.04232344,0.04745469558779032,0.0036680495699912856,0.042403807944318875
2015,2015,12,-0.03993797,0.019209825824226326,-0.004796359161760053,0.017739593192594893
2015,2016,1,0.15572452,0.041656553525745155,-0.03670016030576306,-0.12568914041334978
2015,2016,2,0.01059155,0.03697996433265896,-0.039130540037690946,-0.08956619980448031
2015,2016,3,0.15627817,-0.11081744209585347,-0.007610509339463098,-0.09249429993112994
2015,2016,4,-0.00328678,0.09114999843208445,-0.04758568753470799,-0.050703228618980065
2015,2016,5,-0.06398957,0.09300647732627298,0.00022748687066791607,-0.0018162797245445707
2015,2016,6,-0.00321491,-0.025819374671855022,-0.03321646604050968,0.016452631651271116
2016,2016,7,0.01503509,0.0021965753180176583,-0.014356894538831058,-0.04551523139025575
2016,2016,8,9.858e-05,0.033537789372954215,-0.037599596206592326,-0.009089966353171296
2016,2016,9,0.00927197,0.0738625949813565,-0.020241245661557307,-0.08278263131722313
2016,2016,10,0.08038908,-0.04092243229027315,-0.04058752611457618,-0.035190199521159524
2016,2016,11,0.10056133,-0.02673992891792512,-0.006270956592940739,0.027502348551352196
2016,2016,12,-0.0194702,-0.00910025256079086,-0.010187773312394044,0.07522140514940343
2016,2017,1,-0.00635919,0.028614621818692815,-0.01943421607925791,-0.038840038000595656
2016,2017,2,-0.03412522,0.028325490818269298,0.02232072195312946,-0.06512970852415084
2016,2017,3,-0.02102045,0.05090247789365342,-0.004387337615079024,-0.02232658844215764
2016,2017,4,-0.02359403,0.18829739206822504,0.0038180814382062778,-0.13109767677402687
2016,2017,5,0.01080462,-0.028472163649009355,0.004740594148459764,0.06679840643331558
2016,2017,6,-0.02235596,0.0039247381003102155,0.021521300949888966,-0.015588235405531822
2017,2017,7,0.04659664,0.06965519007365009,0.04483361436955133,0.004109301583973685
2017,2017,8,0.00812791,-0.01384367303999421,-0.041374470912801845,-0.05651731321249414
2017,2017,9,-0.00508793,0.03409798606781323,-0.05905034835634224,-0.0816872585541149
2017,2017,10,0.00862522,-0.07623709797569211,0.055749801712733846,0.036377488822142895
2017,2017,11,0.0277213,-0.025446017509379505,0.007323306396113963,0.03624062382354181
2017,2017,12,0.00870674,-0.05344459385677211,-0.001587421674806402,0.07752218133488972
2017,2018,1,0.11072857,-0.04931942951324099,0.06443310999512644,0.08153255058182832
2017,2018,2,-0.03145426,0.004529216081466761,-0.010780111436872724,-0.05920894437214089
2017,2018,3,-0.03671061,0.0029067771497181243,-0.007978615110649907,0.03443487576370865
2017,2018,4,-0.10179073,0.06506453814011119,-0.06485227035116051,-0.04932641785618051
2017,2018,5,0.0074739,0.06426863119625317,-0.018822185195325705,-0.09511269044727047
2017,2018,6,0.17801052,-0.14041189816624283,0.009319289696468336,0.03609526784459442
2018,2018,7,-0.01634867,-0.0208140687935151,-0.022371333646638167,0.018285463016047804
