formation_year,year,month,Mkt_RF,SMB,HML,RMW,CMA,P_CMA_BA,P_CMA_BC,P_CMA_BN,P_CMA_SA,P_CMA_SC,P_CMA_SN,P_HML_BH,P_HML_BL,P_HML_BN,P_HML_SH,P_HML_SL,P_HML_SN,P_RMW_BN,P_RMW_BR,P_RMW_BW,P_RMW_SN,P_RMW_SR,P_RMW_SW
2014,2015,3,0.06758679,-0.05276925,0.02365703,-0.06915791,-0.02135928,0.04036876,0.04029444,0.09476554,0.02785805,-0.01478619,0.01618809,0.04843829,0.08675737,0.05519817,0.03829826,-0.04733488,0.01151179,0.07466153,-0.02074003,0.11251392,0.01412544,0.00320617,0.00826804
2014,2015,4,-0.02364036,0.01762377,0.00406953,0.01247215,0.00994661,-0.00840903,-0.01190716,-0.01259544,0.00232734,0.02571869,-0.00971652,-0.00327902,-0.01140046,-0.02436043,0.02464695,0.02462933,-0.01727212,-0.00216075,-0.012418,-0.02348177,0.02356771,-0.00570949,-0.01959001
2014,2015,5,-0.00630142,-0.0043401,-0.06085425,0.05316757,0.0194803,-0.06548149,-0.0239612,0.02139718,-0.02281767,-0.02537735,0.0035486,-0.05395306,0.01436573,-0.01230842,-0.02885236,0.02453735,-0.01191755,0.02320478,0.05798173,-0.02815046,-0.00054244,-0.01217085,-0.0323738
2014,2015,6,-0.04983903,0.01657185,0.01484905,-0.02229211,0.02459912,0.02828171,0.02720564,-0.06244037,-0.02558831,0.02468599,-0.00925446,-0.00484347,-0.04831926,0.01004629,0.01775757,0.03153526,-0.02786503,-0.10395476,-0.03365412,0.03491168,-0.00884917,0.00896984,-0.01501174
2015,2015,7,-0.00866308,0.00941445,0.03921038,-0.01348291,-0.04659471,0.06934542,0.03033889,-0.03282743,0.05939385,0.00521095,0.0180651,0.01983731,-0.00427358,0.02114676,0.03979167,-0.0145182,0.03020347,-0.01709297,0.02217774,0.02602279,0.02453469,0.01680134,0.0399221
2015,2015,8,-0.08678235,0.02376375,0.02103364,-0.00505669,0.01006731,-0.05058441,-0.02694617,-0.11536439,-0.02983085,-0.03333447,-0.06410237,-0.06105209,-0.08422732,-0.04804253,-0.02205947,-0.04095152,-0.04649778,-0.11509133,-0.04553551,-0.02862397,-0.07261796,-0.02270068,-0.02949885
2015,2015,9,-0.05765165,0.00303397,0.01794896,-0.00277824,-0.00556774,-0.03770016,-0.03248505,-0.05723066,-0.01188381,-0.02823439,-0.07449327,-0.07152671,-0.04253565,-0.04858396,-0.02147819,-0.08636716,-0.03859437,-0.06353452,-0.02863467,-0.02598027,-0.0650152,-0.02887082,-0.02596874
2015,2015,10,0.06142763,-0.06113538,-0.00314094,-0.00501425,0.02445375,0.01298546,0.05326231,0.10451776,0.00639781,0.01502847,-0.02510308,0.03942362,0.08212958,0.05880368,0.00677161,-0.02965247,0.00461593,0.1025694,0.02412669,0.04799663,-0.02248262,0.01693126,0.00308982
2015,2015,11,-0.04232344,0.04889626,-0.00369667,0.01779145,0.00909599,-0.04298044,0.00039878,-0.04938578,0.03550771,0.01032047,0.03532548,-0.00144318,-0.0406998,-0.00907845,0.00366237,0.05031233,0.02596194,-0.06309861,-0.0080549,0.00709454,0.02522337,0.04861857,-0.00211377
2015,2015,12,-0.03993797,0.01306838,-0.00545389,-0.00651994,-0.00550434,-0.02713741,-0.01557551,-0.03712459,-0.00641021,-0.02898079,-0.00844517,-0.02367676,-0.03078494,-0.02147022,-0.02388612,-0.00587016,-0.01267333,-0.0335453,-0.04133025,-0.01733087,-0.02278547,-0.00517486,-0.01613436
2015,2016,1,0.15572452,0.03186164,-0.00692228,-0.09689151,-0.02917906,0.22602309,0.16674808,0.15100824,0.16006156,0.16097845,0.27021875,0.16393114,0.16271018,0.183218,0.17305223,0.18811774,0.20950685,0.18727863,0.0707709,0.16614116,0.26454296,0.11984647,0.21825922
2015,2016,2,0.01059155,0.03779622,0.03496525,0.01603055,-0.00808762,0.09805907,0.01724486,0.00283787,0.04872383,0.11336278,0.07266161,0.09923072,-0.00566107,0.08800927,0.07954398,0.11450526,0.06660946,0.00352722,0.06643577,0.03378521,0.05782687,0.09490581,0.09549528
2015,2016,3,0.15627817,-0.10232621,-0.05851258,-0.01829958,-0.00013566,0.05579909,0.01775301,0.30269693,0.00137599,0.03915074,-0.00895008,0.10954849,0.22688734,-0.00594646,0.02241813,0.02210444,0.00109551,0.312552,0.02004729,0.01083767,-0.02388143,0.01505869,0.06086746
2015,2016,4,-0.00328678,0.0492707,-0.01543892,0.00269378,-0.04614612,-0.0363512,-0.03944448,0.0516508,0.10074704,0.01154809,0.02295039,-0.03106954,0.02702818,-0.04701279,0.02211903,-0.00510086,0.07726173,0.04861667,-0.02712911,-0.0412567,0.07296433,0.01861917,0.02735919
2015,2016,5,-0.06398957,0.07536203,0.01950173,-0.00609572,0.01488864,-0.04335763,-0.02206517,-0.07649229,0.02164828,0.03013309,0.04427999,-0.04273513,-0.06628768,-0.01199022,0.03100357,0.01555266,0.03255247,-0.07804002,-0.03796278,-0.02242079,0.02226386,0.04141159,0.03806103
2015,2016,6,-0.00321491,-0.01386682,-0.00825831,0.08325548,-0.01189331,-0.03178707,-0.06487083,0.06883675,-0.02655276,-0.01725563,-0.00678808,-0.02499708,0.02859965,-0.04777941,-0.00827065,-0.04535077,-0.00441219,0.05178979,0.04495589,-0.06287823,-0.03033268,0.01735383,-0.04132301
2016,2016,7,0.01503509,-0.00433385,0.05012529,-0.01973677,-0.01096138,0.02490179,0.0169797,0.03047793,0.02113883,0.00713814,0.04720331,0.09201635,0.02336225,0.01649445,0.03913135,0.00753488,0.02050646,0.03243868,0.0276917,0.01261923,0.02034592,0.01021625,0.06476225
2016,2016,8,9.858e-05,0.02593518,-0.03866111,0.01151684,-0.01975632,0.01615102,-0.00469215,0.01638325,0.05004079,0.03137132,0.01290435,-0.00172054,0.01473524,0.00611231,0.02486975,0.08573619,0.02302228,0.00997056,0.04181624,-0.00288663,0.0210091,0.02933148,0.05100068
2016,2016,9,0.00927197,0.05801285,-0.02731504,-0.0138633,0.01041846,-0.01891805,0.00950661,0.03389305,0.06519949,0.05761175,0.0846541,0.01197736,0.03224139,-0.01286806,0.03923991,0.07360596,0.08102971,0.03359117,0.01588496,-0.00599643,0.0845202,0.04297925,0.09258724
2016,2016,10,0.08038908,-0.02756829,-0.01966514,-0.00043855,-0.02767693,0.06233742,0.0216861,0.13416807,0.04189496,0.02719242,0.05270847,0.0544238,0.11722701,0.04376943,0.08184844,0.05837551,0.01840509,0.11543884,0.06335215,0.04453596,0.04271313,0.03299642,0.0526897
2016,2016,11,0.10056133,-0.03364172,-0.05318201,0.01200369,-0.04164187,-0.00071809,-0.03743275,0.19815255,0.04143197,-0.0051371,0.0526801,0.01055622,0.16768878,-0.01544723,0.03939006,-0.01137848,0.03084583,0.1891636,0.00434261,0.01144542,0.05068027,0.0287866,-0.00232358
2016,2016,12,-0.0194702,-0.02387358,-0.01449963,0.06525145,0.00787122,0.01919049,-0.0002591,-0.01741023,-0.01589778,0.01929425,-0.06352919,-0.0127184,-0.00870864,-0.00214602,-0.0326778,-0.0076883,-0.02360416,-0.02167351,0.052785,-0.01353454,-0.00444961,-0.01330061,-0.07748397
2016,2017,1,-0.00635919,0.03619284,-0.05976774,0.02317212,-0.01832736,-0.01419522,-0.03062184,0.02377364,0.04503777,0.02480966,0.0185934,0.0013176,0.01755028,-0.03152215,0.00485413,0.10815693,0.02182045,0.0205345,0.00025218,-0.02479092,0.10394551,-0.00894151,-0.03024266
2016,2017,2,-0.03412522,0.02305009,-0.00479343,0.0021646,0.01616755,0.00564373,0.00013766,-0.0383829,0.00286513,0.04070629,-0.00937221,0.00947603,-0.03087473,-0.01142281,-0.00794931,0.04198831,0.01353541,-0.04169145,0.02118178,-0.00725314,0.03330311,-0.01245874,0.01164697
2016,2017,3,-0.02102045,0.04514474,-0.04475781,-0.02070575,0.01501005,-0.00734975,0.00800898,-0.0166268,0.02672197,0.04138334,0.03396175,0.00418786,-0.01554667,0.00312488,0.00832426,0.11757442,0.03322714,-0.01914811,0.00319189,0.00418487,0.05884503,0.00493668,0.0453552
2016,2017,4,-0.02359403,0.15986605,-0.05051001,-0.06402334,0.00106928,0.0049372,0.03262719,-0.03438042,0.1543231,0.12877167,0.16610001,0.00044639,-0.03188906,0.03757218,0.12347519,0.25683066,0.14412068,-0.0406695,0.00040336,0.0402807,0.16315127,0.11159027,0.1997596
