ticker,year,month,ret_monthly,n_days,first_close,last_close
آباد,2025,2,0.04909091,8,1118.0,1154.0
آباد,2025,3,-0.04332756,18,1182.0,1104.0
آباد,2025,4,-0.01539855,20,1089.0,1087.0
آباد,2025,5,0.2824287,21,1101.0,1394.0
آباد,2025,6,-0.08393113,11,1434.0,1277.0
آباد,2025,7,-0.13782302,16,1277.0,1101.0
آباد,2025,8,-0.23705722,21,1100.0,840.0
آباد,2025,9,0.00714286,20,856.0,846.0
آباد,2025,10,0.11111111,21,830.0,940.0
آباد,2025,11,-0.12021277,21,933.0,827.0
آباد,2025,12,0.07496977,23,828.0,889.0
آباد,2026,1,-0.1496063,19,863.0,756.0
آباد,2026,2,-0.18915344,17,745.0,613.0
آباد,2026,5,0.24469821,8,630.0,763.0
آباد,2026,6,-0.00393185,21,779.0,760.0
آباد,2026,7,-0.16184211,11,757.0,637.0
آبادا,2020,7,0.21935484,6,13591.94,16573.4
آبادا,2020,8,0.60265655,18,17397.69,29490.13
آبادا,2020,9,-0.27088909,22,29393.68,21501.58
آبادا,2020,10,-0.20391517,19,20949.13,17117.08
آبادا,2020,11,-0.07684426,16,16301.56,15801.73
آبادا,2020,12,-0.04661487,22,16503.25,15065.14
آبادا,2021,1,-0.04074505,18,14565.3,14451.31
آبادا,2021,2,-0.12924757,19,14179.47,12583.51
آبادا,2021,3,-0.02160279,17,12574.74,12311.67
آبادا,2021,4,-0.1011396,20,12188.9,11066.47
آبادا,2021,5,-0.20839937,22,11031.4,8760.23
آبادا,2021,6,0.1607826,17,8742.69,10168.72
آبادا,2021,7,0.19872379,17,10650.74,12189.49
آبادا,2021,8,-0.05171103,19,12208.02,11559.15
آبادا,2021,9,0.12510024,19,11827.97,13005.21
آبادا,2021,10,0.04347826,20,12986.67,13570.65
آبادا,2021,11,-0.24863388,22,13524.3,10196.53
آبادا,2021,12,-0.06909091,20,9751.59,9492.04
آبادا,2022,1,-0.12988281,21,9408.61,8259.19
آبادا,2022,2,0.01907969,19,8268.46,8416.77
آبادا,2022,3,0.24669604,17,8416.77,10493.15
آبادا,2022,4,0.19169611,19,10335.57,12504.65
آبادا,2022,5,-0.1097109,21,13051.56,11132.75
آبادا,2022,6,-0.04932781,13,11154.9,10583.6
آبادا,2022,7,-0.22232388,20,10128.5,8230.61
آبادا,2022,8,0.19411765,20,8182.2,9828.32
آبادا,2022,9,-0.10246305,14,9644.34,8821.28
آبادا,2022,10,-0.09769484,22,8666.35,7959.49
آبادا,2022,11,0.12773723,20,7978.85,8976.21
آبادا,2022,12,0.09492988,20,8927.79,9828.32
آبادا,2023,1,0.02364532,20,9808.95,10060.71
آبادا,2023,2,0.04331088,17,9818.64,10496.45
آبادا,2023,3,0.14298893,15,10728.85,11997.33
آبادا,2023,4,0.36723164,17,12355.6,16403.13
آبادا,2023,5,-0.05312869,22,16625.84,15531.65
آبادا,2023,6,-0.20448878,17,14824.79,12355.6
آبادا,2023,7,-0.05956113,20,12413.7,11619.69
آبادا,2023,8,-0.02833333,21,11881.13,11290.46
آبادا,2023,9,-0.04202401,18,11455.08,10815.99
آبادا,2023,10,-0.11459266,22,10767.58,9576.56
آبادا,2023,11,0.08998989,19,9315.12,10438.35
آبادا,2023,12,0.04081633,21,10632.02,10864.41
آبادا,2024,1,-0.07308378,22,11067.75,10070.4
آبادا,2024,2,-0.03461538,18,10051.03,9721.81
