formation_year,year,month,Mkt_RF,ME,IA,ROE
2017,2018,4,-0.09429553,0.058155540422237584,-0.06173387186185007,-0.04656372676594288
2017,2018,5,-0.04272995,0.05290648582888108,-0.024721630536753435,-0.1065708909073329
2017,2018,6,0.07163804,-0.1328659340110479,0.013584219003364179,0.04622407483524313
2018,2018,7,-0.00761619,-0.018415515913620645,-0.017019054314132535,0.02412213677422236
2018,2018,8,0.22712135,-0.10620341696499314,0.0722044109754939,0.14462865335575348
2018,2018,9,0.47796395,0.1482578736380152,-0.02736920853778424,-0.13551343748665223
2018,2018,10,-0.10048472,-0.06726083148399675,0.056325181722060275,0.13029815126120556
2018,2018,11,-0.13489113,0.132370826261032,0.035363237178711586,-0.01183915748011398
2018,2018,12,0.01249327,0.04411431174015559,0.002956101551051013,-0.010878188774268958
2018,2019,1,0.00965207,0.13394938355631672,-0.08101726197241035,-0.046421461967270525
2018,2019,2,0.01482875,-0.008160163539607183,0.06553463817937885,0.0242122167785582
2018,2019,3,0.14873221,0.06535475272417844,0.07910180213334486,-0.003565326794732676
2018,2019,4,0.10819522,0.10189253842832477,-0.12403354484587198,-0.15593870714539212
2018,2019,5,0.0795083,0.16203395998818385,0.0036147907990863037,0.013688669564604933
2018,2019,6,0.11119986,0.1176002223654635,0.07497720605930153,-0.03240585858264536
2019,2019,7,-0.03089411,0.060653093908868964,-0.1529267586512882,-0.09195660713394366
2019,2019,8,0.11778134,0.13719835108847378,-0.15760424327593112,-0.14319207088807437
2019,2019,9,0.17210894,0.10646175027568602,-0.06711156087370576,-0.06193580494929918
2019,2019,10,-0.10614173,-0.028209947833103627,0.05454794295389334,0.061771877462899555
2019,2019,11,0.04726196,0.08267492742676491,-0.06941005332043024,-0.07068408737051567
2019,2019,12,0.17688428,0.0293338770602571,-0.00894499778852098,-0.08235177956299788
2019,2020,1,0.21199194,0.004405594900788359,0.0530291882451335,0.07279110797595673
2019,2020,2,0.09111791,0.06339486235300543,-0.055647882510596464,-0.09356500975807547
2019,2020,3,0.10933075,0.1463119981636008,-0.2298202001783573,-0.029799693694995022
2019,2020,4,0.63943482,-0.1411018803909237,-0.20030544071596634,-0.45219120650535793
2019,2020,5,0.28538865,-0.017478682592642195,0.10998870149721668,0.14896011991331942
2019,2020,6,0.71973375,-0.3153314497589078,0.3861796421687754,0.14210551379878633
2020,2020,7,0.38315551,-0.27509652839990645,0.09608721674536114,0.05036140284674079
2020,2020,8,-0.18908269,0.1418151722628888,-0.18090609476640793,0.07641390599935438
2020,2020,9,-0.24986236,0.017019225426762423,-0.09100361005451879,-0.0608318079168588
2020,2020,10,-0.07322243,0.08222167979648434,0.17978967176204974,0.06104100073441057
2020,2020,11,0.1085027,-0.03930145727648008,0.05670101488987228,0.04141200635145152
2020,2020,12,-0.38753325,0.24159369214545914,-0.07625528339475016,-0.23127294890464634
2020,2021,1,-0.24960179,0.09406450951542011,-0.04030793190144959,-0.01947120398868392
2020,2021,2,-0.10711448,0.050635790938189415,-0.018047717264574964,-0.08091110465289791
2020,2021,3,0.0132155,-0.07764068536206589,-0.026345004496437844,0.008856690371037576
2020,2021,4,-0.09779637,0.05196980292337992,-0.017601097052375655,-0.00952093959391967
2020,2021,5,-0.19228869,0.005031350222026332,-0.02847950987358948,0.01344005999498421
2020,2021,6,0.07706343,-0.13808949797053371,-0.006107914692798845,-0.005548777697712642
2021,2021,7,0.06441588,-0.05173481945588867,0.06436494373451622,0.035655918628446415
